Title,Name,Review Date,Airline,Verified,Reviews,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
No complaints at all,J Hassin,2024-02-17,Singapore Airlines,True,  Competitive pricing on this route. Service is reliable and friendly. Flight was on time and all aspects went smoothly. No complaints at all and would recommend to others.,Solo Leisure,February 2024,Bandar Seri Begawan to Singapore,Economy Class,5,5,5,5,5,10,yes
“I was impressed”,N Allen,2024-02-16,Singapore Airlines,True," This was my first time flying on a regional Singapore Airlines flight on a narrow-bodied aircraft since the old subsidiary Silk Air was absorbed by the parent carrier, and I was impressed. Everything went well on the flight, from boarding, to exemplary behaviour and courtesy shown by the cabin crew, to the food and boarding process at Changi airport. The inflight entertainment provided was the full product used for their long haul flights — amazing!",Family Leisure,February 2024,Singapore to Phnom Penh,Economy Class,5,5,5,5,4,10,yes
“Superb service”,N Allen,2024-02-16,Singapore Airlines,True, Superb service even in economy class. Nothing was too much trouble for the cabin crew. Good food and plentiful. Ample choice of entertainment. Flight departed late but still arrived a little early. Boarding at Heathrow was a little chaotic however.,Solo Leisure,February 2024,London Heathrow to Singapore,Economy Class,4,5,5,5,5,10,yes
regional seat was really uncomfortable,L Hee,2024-02-16,Singapore Airlines,True,"  I was one of the last business class passengers to board, Went to my seat and no offer of pre departure drinks or hot towel. Japanese FA came to me and confirmed my meal order and informed me lunch service would start around 1130am. We took off about 0830am, after takeoff lights were dimmed and nothing was offered. From the time the aircraft took off to the start of lunch service around 11am I did not see crew in the cabin and nothing was offered for 2 1/2 hours. Lunch started with a drink order of orange juice. What came was a syrupy kind of orange drink like cordial. Meal service was fine but this set of crew was just not SQ standard. The regional seat was really uncomfortable and cramped. I did not like it and prefer the older long haul seat.",Solo Leisure,January 2024,Singapore to Tokyo Haneda,Business Class,5,1,5,5,3,2,yes
“no problems whatsoever”,Jason Keh,2024-02-09,Singapore Airlines,False,"  The flight is very smooth sailing, no problems whatsoever and the cabin crews are very friendly and helpful with great hospitality. The pre booked meals are very delicious and well cooked, I couldn’t have asked for a better airline than SIA. The seats are very comfortable and relaxing, it's even better when it’s been converted to a bed and plenty of space and privacy with better comfort. I hope to one day fly with this very amazing again.",Family Leisure,February 2024,Singapore to Hong Kong,Business Class,1,5,4,5,5,10,yes
crew serving business disappeared,C Harmon,2024-02-01,Singapore Airlines,True,"  I flew Perth to Hong Kong via Singapore on SQ226/896 business class on 17/18 January. The first sector was faultless, the crew attentive, no rush with the meal service and a crew member always wandering around the business cabin checking on passengers, topping up drinks etc. magnificent. The next sector started well with friendly and attentive crew, however, after the meal service the entire crew serving business disappeared and were only seen if the bell was rung! A shame because this now seems to be the norm. Rush the meals, dim the lights and hide!",Solo Leisure,January 2024,Perth to Hong Kong via Singapore,Business Class,5,4,5,4,4,8,yes
agent took out travel insurance on my behalf,Niki Kladis,2024-01-29,Singapore Airlines,True,"  For my final trip booked for July 2024, Singapore cancelled my return flight from Istanbul to Sydney. Both the travel agent and I have been trying to get in touch via phone, sms and online forms and they are not responding at all. The travel agent no longer wants to know after a month and a half of trying, they sent me an email for me to try direct, Singapore will not speak to me despite my telling them the agent has wiped his hands of it. Today I found out I will not get my full refund if I were to cancel because the agent took out travel insurance on my behalf without advising me at all. I always have my own travel insurance why would I need another. ",Solo Leisure,December 2023,Sydney to Istanbul via Singapore,Business Class,4,5,4,5,3,2,no
one of the best flights,E Darlon,2024-01-25,Singapore Airlines,True,"  Booked a wheelchair service from Milan to Bangkok. Apart from a slight mishap in Singapore this was one of the best flights I have ever had. The quality of the service was outstanding. Crew worked throughout unlike many European airlines, with great attentiveness. I know because I never sleep. The quality of the food was superb. From my experience both Singapore airlines and Thai have the best training I have come across. Very good entertainment system with many choices. As a yearly flyer there is nothing better than having a long flight where everything works smoothly and people care about you. I can only say thank you. I appreciate your hard work. I will be flying with you again later this year.",Solo Leisure,January 2024,Milan to Bangkok via Singapore,Economy Class,4,5,5,5,5,10,yes
“received amazing support”,B Morrison,2024-01-19,Singapore Airlines,True," I initially booked two separate flights for this airline in November. The first was a LHR-SIN-LHR flight and another was a SIN-MNL-SIN flight. To cut the story short, I requested to rebook my LHR-SIN flight two weeks ahead of my scheduled flight due to a family bereavement and I needed to be in the Philippines. Despite my personal situation, I received an amazing support from the Customer Service team, who happily reorganised my flight, connected my 2 flight bookings so I can get to Manila on time, and without rebooking fees. At the London airport, I was sent-off warmly by the ground staff who has empathised with me as I check-in and ensure I was boarded comfortably in the plane. These gestures of goodwill and support made me grateful for Singapore Airlines. Even though I am no longer based in Singapore, I will always find a way to fly with them. Thank you. These words are never enough for the outstanding, grateful and sincere help you have provided me.",Solo Leisure,November 2023,London to Manila via Singapore,Economy Class,5,1,5,5,5,10,yes
not fly with them in the future,H Paran,2024-01-18,Singapore Airlines,True,"  I flew on SQ217 from Singapore to Melbourne on the 4th of January. My flight was terrible. To begin with my seat was broken and couldn’t be moved and the entertainment device was broken as well. My flight of nearly 8 hours was spent looking blankly into space, seated in the same position. I had severe back pain upon arrival as a result for the next couple of days. When I informed the crew, first the steward said I will be compensated with a voucher and asked me to choose what I like from the duty free catalog. When I did choose a product that would be useful for me, I was told by the air hostess that my voucher is only for $75 Singapore dollars and the rest will have to be paid by me! I informed them I don’t need their $75 voucher and that I will make a formal complaint about the plane’s defects. After my return I did make the complaint and they got back to me saying that another travel voucher of AU$200 will be issued to be used in my next flight with Singapore airlines. But the worst part was they lied and said I was offered another seat but I had declined saying I wanted to be seated next to my husband. This was an outrageous lie. At no point did they offer me another seat. This is very concerning. I would urge everyone flying in SQ next time, to either video any exchange with the crew in situations like this or get it in writing. After discussing with my husband, I informed them that I would not be flying with them in the near future so they can give me a cash voucher. But they replied saying they can only give me a voucher to be used for my future bookings through Singapore airlines. I refused to accept it because I will not fly with them in the future. Even a budget airline would have been more comfortable than this flight. But the greatest worry is their dishonesty.",Couple Leisure,January 2024,Singapore to Melbourne,Economy Class,1,1,1,1,1,2,no
Barely any room to move ,Sean Wise,2024-01-16,Singapore Airlines,True,"  Barely any room to move, woke up to getting my knee crushed from the passenger in front of me reclining there seat back and was told it’s within their right to do so. Would not recommend flying economy with them if you are 6ft or taller.",Family Leisure,January 2024,Singapore to Adelaide,Economy Class,1,5,2,3,1,1,no
“outstanding service”,Paul Bailey,2024-01-12,Singapore Airlines,True," Flew on A52 from Singapore to Manchester on the 10 January. The cabin crew on this flight were excellent in providing outstanding service. Food and drinks were plentiful and of very high quality. My only issue was the seating which I found to be uncomfortable, but other than that the flight was superb. Very highly recommended.",Solo Leisure,January 2024,Singapore to Manchester,Business Class,3,5,5,4,5,9,yes
brilliant experience ,David Mireylees,2024-01-08,Singapore Airlines,True,"  Checkin and immigration entry at Changi Airport a breeze, all completed and straight to Business Lounge within 5-10 minutes, Lovely and comfortable lounge at T3 with a vast array of food and beverages. Flight left slightly late due to operational issues but pre flight champagne was served and we were then on our way. I elected to have a meal upon departure ( as this was a 1am flight, but you can elect to have served 2 hours prior to arrival) and was served a very tasty steak and vegetables with some lovely french red wine. Staff then prepared lie down bed for a sleep which was bliss after a long day. Staff very courteous and professional as always , a reasonwhy I will continue to use SQ for all travel given the brilliant experience with this great airline, everytime.",Couple Leisure,January 2024,Singapore to Sydney,Business Class,5,5,5,5,5,10,yes
best alongside Qatar Airways ,Ken Duffin,2024-01-07,Singapore Airlines,False,"   There's a reason why Singapore keep winning awards - AKL to BKK and then return BKK to AKL via SIN. Pretty much faultless service from one doorstep to the other. Great aircraft, crew, service, food, facilities, lounges, all on time. Sad to say the only faults lay with Auckland airport and its baggage handlers etc. Well done Singapore airlines, I've flown BC long haul with Qatar Airways and Malaysia Airlines this year as well, and SIA is the best alongside Qatar Airways.",Solo Leisure,January 2024,Bangkok to Auckland via Singapore,Business Class,4,4,5,4,4,8,yes
allocated us three different seats,Sudipta Bandyopadhyay,2023-12-31,Singapore Airlines,True,"  We booked our ticket well in advance for our return trip from India from CCU to Perth via Singapore and after few days SIA changed the flight timing later, from originally scheduled 7.40am to 7.20am. We boarded the flight from CCU and flight landed 1 minute before time. Upon landing we have received the notification that our flight has been rescheduled and it will depart at 9.30am. As mentioned before we booked well in advance and paid extra money for forward seats. However with utter surprise we have noticed that they have allocated us three different seats that too rear of the aircraft. While contacting the Transfer desk the customer service lady told us it is not possible to provide us any other seats so that three of us can seat together. She was very rude and not suitable for this kind of job. Being a Krisflyer Gold member this is very disappointing and not at all expected from SIA. ",Family Leisure,December 2023,Singapore to Perth,Economy Class,3,4,3,3,1,1,no
Deficient reservation system,Pierre Visseur,2023-12-27,Singapore Airlines,False,"  We made a Phuket-Singapore round trip which was exemplary, from punctuality to welcome, including the food and drinks offered (Business Class). On the other hand, wishing to make a new reservation, it was impossible to pay online, as I had done previously, and despite around ten calls directly to Singapore (but visibly diverted to other call centers). The employees have nothing to do with it, they follow a protocol, but after 6 hours of attempts, I still haven't been able to pay my ticket. Deficient reservation system, friendly employees but very limited in their knowledge of their reservation system, impossible to reach a manager and promise of a solution in 72 hours. A real shame for an expensive company that claims to be among the best in the world. Nous avons fait un aller-retour Phuket-Singapore qui était exemplaire, de la ponctualité à l'accueil, en passant par les mets et boissons offerts ( Classe affaire ). Par contre, souhaitant effectuer une nouvelle réservation, impossible de payer en ligne, comme je l'avais fait précédemment, et malgré une dizaine d'appels directement à Singapour ( mais visiblement déviés sur d'autres centrales d'appel ). Les employés n'y sont pour rien, ils suivent un protocole, mais après 6 heures de tentatives, je n'ai toujours pas mon pu payer mon billet. Système de réservation déficient, employés sympathique mais très limités dans leurs connaissance de leur système de réservation, impossible d'atteindre un responsable et promesse d'une solution dans..... 72 heures. Une véritable honte pour une compagnie chère qui se prétend parmi les meilleures du monde.",Business,December 2023,Phuket to Singapore,Business Class,4,4,4,4,2,2,no
swapping my itinerary to one day earlier,Fook Yong Meng,2023-12-22,Singapore Airlines,True,  Book early coming 2024 ticket suppose SQ101 launching Jun’24 and now received email say SQ101 is not operating due to operational reason. They suggest swapping my itinerary to one day earlier to SQ127 result long layover time in SIN and aircraft change from Boeing 737-8 to Boeing 737-800NG for real was ex-MI aircraft.,Family Leisure,December 2023,Kuala Lumpur to Hong Kong via Singapore,Economy Class,3,5,1,1,1,1,no
“flight delayed almost 4 hours”,M Wong,2023-12-18,Singapore Airlines,False," The flight was delayed for almost 4 hours. The flight was supposed to be 605pm but only departed at about 950pm. It was only informed to us after we checked in and completed our immigration customs check. We have to wait for so many hours in the restricted areas. We booked this airline only instead of budget airlines only because we thought their flights is known to be punctual. But we were wrong. Moreover, the meal provided is a slice of pizza and exactly the same as the meal that was provided when we took the flight from Singapore to Penang. We are expecting at least some changes in the meal. This is really disappointing, that such arrangement is coming from a world class top airlines. There were also no instructions in the flight or emails to instruct you how to get the wifi service up. There was also no inflight entertainment system or even an earpiece for audio music.",Family Leisure,December 2023,Penang to Singapore,Economy Class,5,5,3,4,1,2,no
I slept better than in economy,S Fardini,2023-12-17,Singapore Airlines,True,"  Book the cook worked well, my seatmate got economy food. There was a bottle of water in every seat, good wifi connectivity. Wines are offered. Frankfurt to Singapore as I moved my seat to bulkhead 25 hours before flying, somehow this messes up the book the cook. So I had eco food. They were apologetic and I received voucher to redeem. I slept better than in economy, and I didn't have swollen leg! I used to try to score business class seat in flights > 10 hours due to my leg tends to swell. But prices now are horrendously expensive. Singapore Airlines premium economy already good enough for my leg.",Solo Leisure,November 2023,Frankfurt to Jakarta via Singapore,Premium Economy,3,4,1,3,3,7,yes
customer service is a nightmare,Vanessa Wergin,2023-12-17,Singapore Airlines,True,  The customer service is a nightmare. I have spent days on the phone since I booked my flight 2 months ago. I booked a flex fare to be able to reschedule my flight but the homepage is not working - same as the staff on the phone that tells me a different story about why I cannot reschedule every time.  Never again.,Business,December 2023,Brisbane to Frankfurt via Singapore,Economy Class,4,5,4,4,1,1,no
“No inflight entertainment at all”,Ming Teoh,2023-12-11,Singapore Airlines,False,"  No inflight entertainment at all. Yes, we are talking about Singapore Airlines. Please send your staff to rate the flight from Singapore to Penang, during my flight from Penang to Singapore, the entire aircraft is super hot. I am wondering is sq providing a free sauna to their passengers during seating until the flight takes off, only then do they provide air conditioning. Don't just rate their long distance flight. Please go ahead and try out their short distance. They do have WIFI on, but unusable.",Solo Leisure,December 2023,Singapore to Penang,Economy Class,4,3,5,3,1,1,no
"easy, comfortable experience",R Malinski,2023-12-09,Singapore Airlines,True,"  The experience was very good on both Outbound to Inbound flights. As we travelled Premium Economy we received priority boarding which was good especially as we were travelling with my 80 year old dad. Premium Economy is very good especially the Leg room, which is the main reason I wanted it and being over double some economy fares it satisfied our needs. Extra recline also made a difference and was bearable even when the person in front was reclining. The Premium Economy cabin only has 4 rows 2-4-2 and is separated from the main economy cabin which made it feel more spacious. We chose the back row so nobody behind us made it feel a little more private and a big gap between us and exit room economy in the next cabin. Flight was smooth and comfortable Staff were great. Helpful and very accommodating when needed. Food was good although had the option to Book the Cook prior to flight. I know some airlines are starting to increase leg room to 40 inches SIN (38) which would be great when you consider the extra money that is paid. On our return from Croatia at Frankfurt there were flight delays which meant we would miss our connection from SIN MEL But both Lufthansa an Singapore Airlines made this a much less stressful experience, in fact a great little adventure. At FRA we received meal vouchers and were updated regularly by helpful staff and when we arrived in SIN everything was organised as soon as we got of the plane. Meal vouchers, hotel vouchers, Taxi to hotel and back, assistance with getting our entry visa on arrival. Choose a good airline and the combo of Lufthansa and especially flying major legs with Singapore Airlines made it an easy, comfortable experience. I would highly recommend.",Family Leisure,September 2023,Melbourne to Zagreb via Singapore / Frankfurt,Premium Economy,3,1,3,4,3,8,yes
“Above and beyond”,Y Eames,2023-11-28,Singapore Airlines,False,  We flew on SQ285 on 22/11/23 - great flight and service from the pilot to the hostesses. In the terminal we were blessed with the assistance on Punitha Maniam checking us in who spotted an issue with one of our NZ visas. Punitha took the trouble to re-apply on an express approval application on our behalf including follow up phone calls to ensure we had approval. Punitha thank you so much for being you and helping us as I am sure you would for all your customers. Above and beyond the only way to describe you! ,Couple Leisure,November 2023,Singapore to Auckland,Business Class,1,3,3,2,5,10,yes
delayed 24 hours in September 2023,E Keale,2023-11-24,Singapore Airlines,True,"  It appears that Singapore Airlines slogan ""Placing you at the heart of everything we do"", only applies when you are actually travelling, any customer service does not extend to dealing with complaints about delays quickly and efficiently. We were delayed 24 hours in September 2023, and are still waiting for the airline to comply with UK civil aviation authority compensation rules.",Couple Leisure,September 2023,London to Singapore,Economy Class,3,5,1,4,2,1,no
“they have not followed through”,Barbara Fast,2023-11-21,Singapore Airlines,False,"  Flight delayed out of Singapore. Luggage didn’t make it on the flight. Said it would be delivered the next day! It has not! I’m completely canceling plans tomorrow to go 3 hrs round trip to get luggage myself, as I fly back to the states the next day. For being called the best airline in the world, I have experienced the most irresponsible service. They said they would do one thing and they have not followed through.",Solo Leisure,November 2023,"Siam Reap, Cambodia to Bali via Singapore",Economy Class,1,4,4,4,1,1,no
“not the Singapore Airlines I know!”,Craig Cutts,2023-11-20,Singapore Airlines,True," I used Singapore Airlines on 10 flights during September and October between the UK and different Asian destinations, I have used Singapore many times maintaining Kris flyer Gold Status for some years. During my recent flights I used economy, premium economy and business class, the flights were okay nothing spectacular but probably the biggest take away was the poor service on just about every flight apart from 1. Ranging from missed food to dreadful food, just not the Singapore Airlines I know! I used SQ for the consistency of service which is not after COVID not the same, I know many airlines have suffered from experience leaving the work place, but Singapore crew service and consistency are it's trade mark. I travel to South East Asia a lot from both Europe & South Africa so Singapore figured in my travel plans a lot, I will probably use them again in the future but in the meantime I have gone to an alternative for my next round of flights. I would recommend Singapore on some routes simply because the competition is poor.",Solo Leisure,October 2023,London Heathrow to Denpasar via Singapore,Premium Economy,4,5,4,2,3,6,yes
Never again Singapore Airlines,Vibor Cilic,2023-11-18,Singapore Airlines,True," We had the most horrific check-in experience with Singapore Airlines on Nov. 7th flight SQ 25 from JFK to Frankfurt. The check-in area barely had any travelers when we arrived and we were greeted by an agent immediately. The horror began. Our ticket was a one-way ticket since we were going to Split, Croatia (our final destination) for a longer time period for us and, especially, our toddler boy (29 months old traveling with me and my wife of course) to enjoy time with family and friends. Therefore, we purchased an airline ticket for each of us and chose Singapore Airlines as a well-respected travel provider. Each of us had 2 check-in luggage, one carry-on, one backpack, and a car seat for our son. Leaving for an extended period of time with toddlers requires carrying a lot of luggage and we carefully packed it all, measured it, and tried to pay for extra weight online before flying. There was no option for it. As I was taking care of our son, my wife was checking us in at the counter (the first class counter right next to the business class counter in Row 8). I noticed that she became visibly distressed and that the agent was on the phone holding off the check-in procedure. I asked if everything was ok and she responded that the check-in agent was not letting us check in. What he and his supervisor who he was on the phone with, and who seemed to be a business class agent right next to us, said equals absolute harassment and a complete overstepping of their boundaries. They proceeded to tell us that we needed to purchase a separate return ticket each because we won’t be let in to stay in Croatia. This is unheard of, absolutely wrong, and untrue, a situation created by the agent and his supervisor that doesn’t exist. I am Croatian and an American citizen, and my wife and my son are American citizens who can enter Croatia with American passports as they wish. Then, the agent (still on the phone with the next counter supervisor) asked my wife if she had at least $8000 and after taking my Croatian passport said it would be fine for me but not for my wife who never changed her name - so was asked to produce proof of our marriage. Thankfully she carries our marriage certificate in case of this but for other countries as we travel - not for the US! And this “interrogation“ happened in an atmosphere of hostility where the agent and his supervisor, who at some point was having a laughing chat with one of his colleagues, behaved with utmost disrespect towards us as their/your client/customer. Zero courteous smile. Zero understanding. Zero any sort of empathy that we have a toddler with us. We knew that we would pay for extra weight in one piece of luggage (the 9 kg option we couldn’t do online). They proceeded to make us check our two carry-ons that were barely over 7kg (and this has never happened to me or my wife in our 25 years of global flying) at a cost of $700. The Crew and flight were great. The food was horrible and the seats were not too comfy. Also, the customer service was almost ignorant of our complaint and defended their agents' actions without any understanding. Never again Singapore Airlines.",Family Leisure,November 2023,New York to Frankfurt,Economy Class,4,4,3,3,1,1,no
Food was excellent ,J Morton,2023-11-18,Singapore Airlines,True,  Just a short 2 hour flight. Food was excellent - had the Pre-Order Butter Chicken. Staff were efficient. Comfy seat but no time to relax back and enjoy. No issues and would fly again. ,Couple Leisure,November 2023,Singapore to Bangkok,Business Class,4,1,3,5,4,9,yes
An excellent experience ,J Morton,2023-11-18,Singapore Airlines,True,  An excellent experience. Food was simply terrific (Pan Seared Salmon) and plenty of Drink on offer. Service was Friendly and Efficient. I got a good 7 hours of sleep laid out flat. Also used their complimentary WiFi without any issues.,Couple Leisure,November 2023,Auckland to Singapore,Business Class,1,5,5,4,4,9,yes
SQ has not provided any explanation ,Y Tan,2023-11-17,Singapore Airlines,True,"   We were booked on Business from Johannesburg to Singapore in October and was asked to provide the credit card used to purchase the ticket for my husband’s ticket some 11 months ago. Apparently this was flagged by SQ system at checkin and we need to provide said credit card for checkin staff to scan into SQ system in order to allow us to get his boarding pass. Otherwise we need to sign an indemnity form or risk denied boarding. Fortunately, I did have the credit card used 11 months ago when I booked his flight or both of us would end up in Johannesburg stranded! Reason offered: 1. Fraud detection systems picked this up based off determined parameters. When I challenged this because 11 months SQ would have been paid in full and their ERP system should have the information. 2. Next explanation: within a 12- hour period we charged many transactions on card. When I provided the data which showed we never charged anything within 12 hour either before or after . 3. Their system algorithm is correct in picking this up as “fraud” and good for customer! Empty assurance of prevention when SQ has not provided any explanation how this event was picked up! I am still waiting for someone more senior to pick this up… Interested to ensure that this will not happen to any other passengers who booked tickets at least 3 months in advance of travel date let alone one year ago!",Couple Leisure,October 2023,Johannesburg to Singapore,Business Class,5,3,1,3,2,4,no
Very poor service,David Torrible,2023-11-15,Singapore Airlines,False,"  Very poor service, was told not to take my cabin luggage onto business class, but all the bags in the plane including economy were bigger. Cabin crew brought the wrong dinner and basically told me to eat it, only replaced when I did not. Seat not able to got flat, very poor seating configuration for someone over 6’.",Business,November 2023,Sydney to Singapore,Business Class,4,3,3,5,3,4,no
great choices of movies,S Partin,2023-11-06,Singapore Airlines,True,"  The best airline I've flown. The windows shades are automatic dark, automatic colors. The aircraft is big with many lavatories. Wifi is working for Krisflyer members and its free. The IFE is also working with great choices of movies and tv shows and a usb port provided. The breakfast was also great.",Solo Leisure,October 2023,Manila to Singapore,Economy Class,2,1,4,5,5,10,yes
only offered an option of fish or vegetarian ,Gilroy Dias,2023-11-04,Singapore Airlines,True,"  We were booked in on seat numbers 62j to 62k as a family of four. At the time of the meals, when requested for a chicken meal we were only offered an option of fish or vegetarian. As there was no chicken available, my kids were given a fish meal that they could not eat. I refused a meal, as I was unable to get a chicken meal. What I was given to understand by the head stewardess that there were not enough meals on the flight. What baffles me is how can the earlier economy seats in the plain get what they want, and we as a family in the latter half were not even given one chicken meal. No where on check-in were we given an option to choose our meals too. Even the head stewardess was of the opinion there was an issue with the allocation of meals. ",Family Leisure,October 2023,Mumbai to Melbourne via Singapore,Economy Class,1,3,5,5,4,1,no
tell me that they cannot find my luggage,P Heyes,2023-11-03,Singapore Airlines,True,  They never placed my 2 bags on my flights from Rome to Singapore and onto Penang. I have airtags and the app shows exactly where they are and Singapore Airlines refuses to use this information and continues to tell me that they cannot find my luggage. I am stranded in Penang with only the clothes on my back. They have completely destroyed this travel experience. I attach a pic of where my bags currently are at Rome airport!,Solo Leisure,November 2023,Athens to Penang via Rome,Economy Class,3,5,5,1,1,1,no
